system1lib                     ;NEWTYPE
muimaster.library1             ;MUI_NewObjectA_
identify.library1              ;IdExpansion_
bfbplaymaster.library1         ;BFBCheckModule_
camd.library1                  ;LockCAMD_
mpega.library1                 ;MPEGA_open_
hvlplay.library                ;HVL_LoadTune_
newicon.library1               ;GetNewDiskObject_
thxplay.library1               ;thxInit_
preferences.library1           ;AllocPrefsHandle_
disassembler.library1          ;Disassemble_
bsdsocket.library1             ;socket_
FileID.library1                ;FIAllocFileInfo_
translator.library1            ;Translate_
reqtools.library1              ;rtAllocRequestA_
ted.library1                   ;TEDSetLabelList_
fpulib                         ;fpulib
fpulib                         ;XVCXVL
triton.library1                ;TR_OpenProject_
workbench.library1             ;UpdateWorkbench_
utility.library1               ;FindTagItem_
rexxsyslib.library1            ;CreateArgstring_
potgo.resource1                ;AllocPotBits_
misc.resource1                 ;AllocMiscResource_
mathtrans.library1             ;SPAtan_
mathieeesingtrans.library1     ;IEEESPAtan_
mathieeesingbas.library1       ;IEEESPFix_
mathieeedoubtrans.library1     ;IEEEDPAtan_
mathieeedoubbas.library1       ;IEEEDPFix_
mathffp.library1               ;SPFix_
locale.library1                ;CloseCatalog_
layers.library1                ;InitLayers_
keymap.library1                ;SetKeyMapDefault_
iffparse.library1              ;AllocIFF_
icon.library1                  ;FreeFreeList_
gadtools.library1              ;CreateGadgetA_
expansion.library1             ;AddConfigDev_
disk.resource1                 ;AllocUnit_
datatypes.library1             ;ObtainDataTypeA_
commodities.library1           ;CreateCxObj_
ciab.resource1                 ;AddICRVector_b
ciaa.resource1                 ;AddICRVector_a
card.resource1                 ;OwnCard_
bullet.library1                ;OpenEngine_
battmem.resource1              ;ObtainBattSemaphore_
battclock.resource1            ;ResetBattClock_
asl.library1                   ;AllocFileRequest_
amigaguide.library1            ;LockAmigaGuideBase_
dos.library2                   ;ReadItem_
graphics.library2              ;StripFont_
diskfont.library1              ;OpenDiskFont_
dos.library1                   ;Open_
exec.library1                  ;Supervisor_
graphics.library1              ;BltBitMap_
intuition.library1             ;OpenIntuition_
